id,label,p1,p2,p3,p4,p1,p2,p3,p4,,,,,p-sum,,,,,,,,,
001701,,8.5386,2.018,4.6739,0.7692,7.5623,2.0163,4.6681,0.753,0.9763,0.0017,0.0058,0.0162,8.5386,2.018,4.6739,0.7692,,,0.9763,0.0017,0.0058,0.0162
001702,,0.0864,0.1903,15.5082,0.2151,0.0683,0.1613,14.5894,0.181,0.0181,0.029,0.9188,0.0341,0.0864,0.1903,15.5082,0.2151,,,0.0181,0.029,0.9188,0.0341
001801,,1.6731,10.5815,3.0545,0.6909,1.5344,10.31,2.7892,0.3664,0.1387,0.2715,0.2653,0.3245,1.6731,10.5815,3.0545,0.6909,,,0.1387,0.2715,0.2653,0.3245
001802,,0.2667,15.1998,0.386,0.1475,0.25,14.2283,0.3759,0.1459,0.0167,0.9715,0.0101,0.0016,0.2667,15.1998,0.386,0.1475,,,0.0167,0.9715,0.0101,0.0016
001803,,0.0347,0.229,15.6687,0.0674,0.0319,0.2249,14.678,0.065,0.0028,0.0041,0.9907,0.0024,0.0347,0.229,15.6687,0.0674,,,0.0028,0.0041,0.9907,0.0024
001901,,4.5943,1.9126,4.0762,5.417,4.2805,1.8208,3.7044,5.1944,0.3138,0.0918,0.3718,0.2226,4.5943,1.9126,4.0762,5.417,,,0.3138,0.0918,0.3718,0.2226
002001,,0.1304,0.1519,0.1015,15.6161,0.1111,0.138,0.095,14.6557,0.0193,0.0139,0.0065,0.9604,0.1304,0.1519,0.1015,15.6161,,,0.0193,0.0139,0.0065,0.9604
002002,,0.2119,0.3133,15.3151,0.1595,0.1724,0.2884,14.4121,0.127,0.0395,0.0249,0.903,0.0325,0.2119,0.3133,15.3151,0.1595,,,0.0395,0.0249,0.903,0.0325
002003,,0.5266,0.3798,14.5237,0.5703,0.4372,0.3389,13.7843,0.4399,0.0894,0.0409,0.7394,0.1304,0.5266,0.3798,14.5237,0.5703,,,0.0894,0.0409,0.7394,0.1304
002101,,0.4392,0.531,0.7885,14.2412,0.4084,0.4354,0.5902,13.5659,0.0308,0.0956,0.1983,0.6753,0.4392,0.531,0.7885,14.2412,,,0.0308,0.0956,0.1983,0.6753
002201,,0.6573,11.6622,2.6051,1.0754,0.4463,11.1154,2.4998,0.9384,0.211,0.5468,0.1053,0.137,0.6573,11.6622,2.6051,1.0754,,,0.211,0.5468,0.1053,0.137
002202,,0.2871,3.9325,4.2532,7.5273,0.2152,3.8258,3.5528,7.4063,0.0719,0.1067,0.7004,0.121,0.2871,3.9325,4.2532,7.5273,,,0.0719,0.1067,0.7004,0.121
002301,,0.0458,0.1936,15.5676,0.1932,0.0339,0.179,14.6298,0.1575,0.0119,0.0146,0.9378,0.0357,0.0458,0.1936,15.5676,0.1932,,,0.0119,0.0146,0.9378,0.0357
002302,,14.4718,0.617,0.3458,0.5655,13.5728,0.5988,0.3215,0.507,0.899,0.0182,0.0243,0.0585,14.4718,0.617,0.3458,0.5655,,,0.899,0.0182,0.0243,0.0585
002401,,0.1816,3.7901,5.6974,6.3309,0.1037,3.5298,5.2041,6.1623,0.0779,0.2603,0.4933,0.1686,0.1816,3.7901,5.6974,6.3309,,,0.0779,0.2603,0.4933,0.1686
002501,,0.7354,4.5089,5.7733,4.9822,0.6386,4.2874,5.5426,4.5312,0.0968,0.2215,0.2307,0.451,0.7354,4.5089,5.7733,4.9822,,,0.0968,0.2215,0.2307,0.451
002601,,0.0835,1.9073,10.8308,3.1784,0.0744,1.8044,10.0924,3.0288,0.0091,0.1029,0.7384,0.1496,0.0835,1.9073,10.8308,3.1784,,,0.0091,0.1029,0.7384,0.1496
002602,,1.9515,3.2824,6.8981,3.8681,1.6987,3.172,6.5136,3.6157,0.2528,0.1104,0.3845,0.2524,1.9515,3.2824,6.8981,3.8681,,,0.2528,0.1104,0.3845,0.2524
002701,,0.5329,8.5059,6.8586,0.1025,0.5259,8.449,5.9401,0.0849,0.007,0.0569,0.9185,0.0176,0.5329,8.5059,6.8586,0.1025,,,0.007,0.0569,0.9185,0.0176
002702,,0.0493,15.7468,0.1816,0.0222,0.0424,14.8443,0.0937,0.0195,0.0069,0.9025,0.0879,0.0027,0.0493,15.7468,0.1816,0.0222,,,0.0069,0.9025,0.0879,0.0027
002703,,0.4609,6.3775,8.7568,0.4049,0.1959,5.8295,8.5807,0.394,0.265,0.548,0.1761,0.0109,0.4609,6.3775,8.7568,0.4049,,,0.265,0.548,0.1761,0.0109
002801,,2.2247,1.2665,7.6635,4.8454,2.1784,1.1405,7.0151,4.666,0.0463,0.126,0.6484,0.1794,2.2247,1.2665,7.6635,4.8454,,,0.0463,0.126,0.6484,0.1794
002802,,1.0081,0.8361,7.6289,6.5268,0.8144,0.6683,7.1559,6.3613,0.1937,0.1678,0.473,0.1655,1.0081,0.8361,7.6289,6.5268,,,0.1937,0.1678,0.473,0.1655
002901,,0.1262,0.0373,7.5445,8.2921,0.1113,0.0328,6.5809,8.2751,0.0149,0.0045,0.9636,0.017,0.1262,0.0373,7.5445,8.2921,,,0.0149,0.0045,0.9636,0.017
003001,,0.0443,11.7209,4.2091,0.0255,0.0404,11.3523,3.5875,0.0196,0.0039,0.3686,0.6216,0.0059,0.0443,11.7209,4.2091,0.0255,,,0.0039,0.3686,0.6216,0.0059
003002,,2.4986,13.3043,0.0557,0.1415,2.4665,12.3941,0.0525,0.087,0.0321,0.9102,0.0032,0.0545,2.4986,13.3043,0.0557,0.1415,,,0.0321,0.9102,0.0032,0.0545
003101,,0.1114,0.1701,0.1303,15.588,0.1014,0.1466,0.1146,14.6373,0.01,0.0235,0.0157,0.9507,0.1114,0.1701,0.1303,15.588,,,0.01,0.0235,0.0157,0.9507
003102,,14.5054,0.2644,0.175,1.0553,13.6647,0.192,0.1544,0.989,0.8407,0.0724,0.0206,0.0663,14.5054,0.2644,0.175,1.0553,,,0.8407,0.0724,0.0206,0.0663
003103,,0.1311,15.156,0.2379,0.4751,0.0664,14.4327,0.1278,0.3732,0.0647,0.7233,0.1101,0.1019,0.1311,15.156,0.2379,0.4751,,,0.0647,0.7233,0.1101,0.1019
003201,,1.2516,2.4677,4.7223,7.5586,1.1684,2.1248,4.5206,7.1864,0.0832,0.3429,0.2017,0.3722,1.2516,2.4677,4.7223,7.5586,,,0.0832,0.3429,0.2017,0.3722
003301,,0.1656,15.6986,0.0428,0.0932,0.1269,14.7603,0.0377,0.0753,0.0387,0.9383,0.0051,0.0179,0.1656,15.6986,0.0428,0.0932,,,0.0387,0.9383,0.0051,0.0179
003302,,0.5685,0.0346,15.2323,0.1645,0.4396,0.0203,14.3803,0.1597,0.1289,0.0143,0.852,0.0048,0.5685,0.0346,15.2323,0.1645,,,0.1289,0.0143,0.852,0.0048
003303,,2.6126,6.4266,5.6292,1.3314,2.1663,6.1485,5.3691,1.3159,0.4463,0.2781,0.2601,0.0155,2.6126,6.4266,5.6292,1.3314,,,0.4463,0.2781,0.2601,0.0155
003401,,0.2817,1.5342,13.9131,0.2711,0.2023,1.4738,13.1567,0.1672,0.0794,0.0604,0.7564,0.1039,0.2817,1.5342,13.9131,0.2711,,,0.0794,0.0604,0.7564,0.1039
003402,,9.1238,0.6666,5.6442,0.5653,8.32,0.6103,5.5359,0.5337,0.8038,0.0563,0.1083,0.0316,9.1238,0.6666,5.6442,0.5653,,,0.8038,0.0563,0.1083,0.0316
003501,,0.2897,3.1811,5.9636,6.5655,0.175,3.016,5.7933,6.0156,0.1147,0.1651,0.1703,0.5499,0.2897,3.1811,5.9636,6.5655,,,0.1147,0.1651,0.1703,0.5499
003502,,7.772,4.8942,1.9191,1.4145,7.6402,4.2794,1.7712,1.309,0.1318,0.6148,0.1479,0.1055,7.772,4.8942,1.9191,1.4145,,,0.1318,0.6148,0.1479,0.1055
003503,,1.2088,2.4608,8.8179,3.5123,1.1372,2.4062,8.7592,2.6972,0.0716,0.0546,0.0587,0.8151,1.2088,2.4608,8.8179,3.5123,,,0.0716,0.0546,0.0587,0.8151
003601,,0.0666,0.1931,0.1573,15.5829,0.0596,0.175,0.1422,14.6231,0.007,0.0181,0.0151,0.9598,0.0666,0.1931,0.1573,15.5829,,,0.007,0.0181,0.0151,0.9598
003602,,1.3164,6.3624,4.0923,4.2288,1.1476,6.2063,3.4696,4.1765,0.1688,0.1561,0.6227,0.0523,1.3164,6.3624,4.0923,4.2288,,,0.1688,0.1561,0.6227,0.0523
003701,,0.1829,1.6642,10.0472,4.1055,0.1163,1.506,9.5267,3.8508,0.0666,0.1582,0.5205,0.2547,0.1829,1.6642,10.0472,4.1055,,,0.0666,0.1582,0.5205,0.2547
003801,,9.7885,0.7301,0.797,4.6843,9.2608,0.6346,0.5935,4.5111,0.5277,0.0955,0.2035,0.1732,9.7885,0.7301,0.797,4.6843,,,0.5277,0.0955,0.2035,0.1732
003901,,2.4786,8.0371,3.4867,1.9976,2.4499,7.2063,3.3656,1.9782,0.0287,0.8308,0.1211,0.0194,2.4786,8.0371,3.4867,1.9976,,,0.0287,0.8308,0.1211,0.0194
003902,,0.2532,1.1517,14.2903,0.3044,0.2504,1.145,13.303,0.3013,0.0028,0.0067,0.9873,0.0031,0.2532,1.1517,14.2903,0.3044,,,0.0028,0.0067,0.9873,0.0031
004001,,1.5197,3.2879,2.0076,9.1847,1.4856,3.1788,1.685,8.6505,0.0341,0.1091,0.3226,0.5342,1.5197,3.2879,2.0076,9.1847,,,0.0341,0.1091,0.3226,0.5342
004002,,7.6259,3.6395,2.0889,2.6461,7.3688,3.2546,1.9194,2.4576,0.2571,0.3849,0.1695,0.1885,7.6259,3.6395,2.0889,2.6461,,,0.2571,0.3849,0.1695,0.1885
004101,,0.0459,0.5057,12.8503,2.5983,0.0219,0.4403,12.0052,2.5328,0.024,0.0654,0.8451,0.0655,0.0459,0.5057,12.8503,2.5983,,,0.024,0.0654,0.8451,0.0655
004102,,0.2252,14.1803,0.9907,0.6038,0.2089,13.4326,0.7828,0.5757,0.0163,0.7477,0.2079,0.0281,0.2252,14.1803,0.9907,0.6038,,,0.0163,0.7477,0.2079,0.0281
004201,,1.1141,2.2979,3.559,9.0289,0.8524,2.0157,3.3885,8.7434,0.2617,0.2822,0.1705,0.2855,1.1141,2.2979,3.559,9.0289,,,0.2617,0.2822,0.1705,0.2855
004301,,0.9842,1.1116,11.621,2.283,0.9604,1.0817,10.6919,2.2658,0.0238,0.0299,0.9291,0.0172,0.9842,1.1116,11.621,2.283,,,0.0238,0.0299,0.9291,0.0172
004401,,0.3044,0.1633,14.7226,0.8097,0.2633,0.1345,13.8249,0.7773,0.0411,0.0288,0.8977,0.0324,0.3044,0.1633,14.7226,0.8097,,,0.0411,0.0288,0.8977,0.0324
004402,,0.6007,14.7901,0.4159,0.1933,0.527,13.9274,0.3744,0.1712,0.0737,0.8627,0.0415,0.0221,0.6007,14.7901,0.4159,0.1933,,,0.0737,0.8627,0.0415,0.0221
004501,,9.8937,0.4579,4.9742,0.6743,9.7974,0.4556,4.0891,0.658,0.0963,0.0023,0.8851,0.0163,9.8937,0.4579,4.9742,0.6743,,,0.0963,0.0023,0.8851,0.0163
004502,,0.1858,8.3202,3.2408,4.2533,0.1696,7.8816,2.7711,4.1778,0.0162,0.4386,0.4697,0.0755,0.1858,8.3202,3.2408,4.2533,,,0.0162,0.4386,0.4697,0.0755
004601,,0.2076,14.5287,1.1534,0.1101,0.1408,13.6791,1.0822,0.0977,0.0668,0.8496,0.0712,0.0124,0.2076,14.5287,1.1534,0.1101,,,0.0668,0.8496,0.0712,0.0124
004602,,0.0576,3.0963,3.5674,9.2786,0.0414,2.7949,3.2894,8.8741,0.0162,0.3014,0.278,0.4045,0.0576,3.0963,3.5674,9.2786,,,0.0162,0.3014,0.278,0.4045
004701,,0.1746,11.465,2.3085,2.052,0.1431,10.8341,2.0818,1.9411,0.0315,0.6309,0.2267,0.1109,0.1746,11.465,2.3085,2.052,,,0.0315,0.6309,0.2267,0.1109
004801,,0.262,13.177,1.6194,0.9414,0.2588,12.2195,1.5861,0.9354,0.0032,0.9575,0.0333,0.006,0.262,13.177,1.6194,0.9414,,,0.0032,0.9575,0.0333,0.006
004802,,0.1375,15.1492,0.4582,0.2552,0.1309,14.2018,0.4367,0.2307,0.0066,0.9474,0.0215,0.0245,0.1375,15.1492,0.4582,0.2552,,,0.0066,0.9474,0.0215,0.0245
004901,,1.0991,4.338,4.7201,5.8432,0.7603,4.1574,4.5481,5.5345,0.3388,0.1806,0.172,0.3087,1.0991,4.338,4.7201,5.8432,,,0.3388,0.1806,0.172,0.3087
005001,,8.1008,2.2837,0.4798,5.1358,7.7601,2.1397,0.4342,4.666,0.3407,0.144,0.0456,0.4698,8.1008,2.2837,0.4798,5.1358,,,0.3407,0.144,0.0456,0.4698
005002,,0.135,0.0461,0.1292,15.6897,0.1282,0.0419,0.1147,14.7151,0.0068,0.0042,0.0145,0.9746,0.135,0.0461,0.1292,15.6897,,,0.0068,0.0042,0.0145,0.9746
005101,,1.0227,0.9508,12.9459,1.0802,0.9972,0.8566,12.124,1.0218,0.0255,0.0942,0.8219,0.0584,1.0227,0.9508,12.9459,1.0802,,,0.0255,0.0942,0.8219,0.0584
005201,,4.459,4.212,5.0063,2.3231,4.1909,3.8947,4.7077,2.2071,0.2681,0.3173,0.2986,0.116,4.459,4.212,5.0063,2.3231,,,0.2681,0.3173,0.2986,0.116
005202,,0.5801,3.1161,5.2145,7.0892,0.5401,2.9755,4.5501,6.9342,0.04,0.1406,0.6644,0.155,0.5801,3.1161,5.2145,7.0892,,,0.04,0.1406,0.6644,0.155
005301,,0.2064,15.2559,0.1344,0.4036,0.183,14.3234,0.1312,0.3626,0.0234,0.9325,0.0032,0.041,0.2064,15.2559,0.1344,0.4036,,,0.0234,0.9325,0.0032,0.041
005302,,0.2765,0.69,14.455,0.5781,0.266,0.6766,13.4978,0.5593,0.0105,0.0134,0.9572,0.0188,0.2765,0.69,14.455,0.5781,,,0.0105,0.0134,0.9572,0.0188
005401,,0.2703,10.5778,5.0345,0.1176,0.2305,9.6896,4.9722,0.1078,0.0398,0.8882,0.0623,0.0098,0.2703,10.5778,5.0345,0.1176,,,0.0398,0.8882,0.0623,0.0098
005501,,0.6959,4.726,1.3732,9.2049,0.6812,3.9557,1.2671,9.0961,0.0147,0.7703,0.1061,0.1088,0.6959,4.726,1.3732,9.2049,,,0.0147,0.7703,0.1061,0.1088
005502,,2.0821,2.114,11.1061,0.6978,2.0562,1.9349,10.3377,0.6712,0.0259,0.1791,0.7684,0.0266,2.0821,2.114,11.1061,0.6978,,,0.0259,0.1791,0.7684,0.0266
005601,,1.0714,1.2804,12.73,0.9179,0.8883,1.1399,12.2534,0.7181,0.1831,0.1405,0.4766,0.1998,1.0714,1.2804,12.73,0.9179,,,0.1831,0.1405,0.4766,0.1998
005701,,1.2097,12.56,0.5852,1.645,1.026,11.9129,0.5155,1.5455,0.1837,0.6471,0.0697,0.0995,1.2097,12.56,0.5852,1.645,,,0.1837,0.6471,0.0697,0.0995
005702,,12.3518,1.0687,1.0893,1.4903,12.1044,0.9632,0.5911,1.3414,0.2474,0.1055,0.4982,0.1489,12.3518,1.0687,1.0893,1.4903,,,0.2474,0.1055,0.4982,0.1489
005801,,2.3033,11.7833,0.4192,1.494,2.096,11.0482,0.3839,1.4718,0.2073,0.7351,0.0353,0.0222,2.3033,11.7833,0.4192,1.494,,,0.2073,0.7351,0.0353,0.0222
005901,,0.3332,13.7864,0.23,1.6503,0.1821,13.7409,0.1712,0.9057,0.1511,0.0455,0.0588,0.7446,0.3332,13.7864,0.23,1.6503,,,0.1511,0.0455,0.0588,0.7446
006001,,12.5407,1.449,0.2262,1.7839,11.6017,1.4237,0.2069,1.7675,0.939,0.0253,0.0193,0.0164,12.5407,1.449,0.2262,1.7839,,,0.939,0.0253,0.0193,0.0164
006101,,0.1685,7.061,1.6665,7.1037,0.1595,7.0483,1.5795,6.2124,0.009,0.0127,0.087,0.8913,0.1685,7.061,1.6665,7.1037,,,0.009,0.0127,0.087,0.8913
006102,,12.2555,1.3668,2.18,0.1978,11.2814,1.3584,2.1675,0.1927,0.9741,0.0084,0.0125,0.0051,12.2555,1.3668,2.18,0.1978,,,0.9741,0.0084,0.0125,0.0051
006201,,0.2365,0.275,0.6879,14.8007,0.2312,0.2334,0.4913,14.0442,0.0053,0.0416,0.1966,0.7565,0.2365,0.275,0.6879,14.8007,,,0.0053,0.0416,0.1966,0.7565
006301,,0.0204,15.0179,0.9411,0.0207,0.0157,14.0597,0.9067,0.018,0.0047,0.9582,0.0344,0.0027,0.0204,15.0179,0.9411,0.0207,,,0.0047,0.9582,0.0344,0.0027
006401,,11.1569,0.0609,4.7572,0.0248,10.2202,0.0544,4.702,0.0232,0.9367,0.0065,0.0552,0.0016,11.1569,0.0609,4.7572,0.0248,,,0.9367,0.0065,0.0552,0.0016
006402,,0.5939,4.5908,7.1695,3.6456,0.4796,4.4685,6.5896,3.4621,0.1143,0.1223,0.5799,0.1835,0.5939,4.5908,7.1695,3.6456,,,0.1143,0.1223,0.5799,0.1835
006501,,0.9945,12.9745,1.3308,0.7,0.8997,12.7122,0.7499,0.638,0.0948,0.2623,0.5809,0.062,0.9945,12.9745,1.3308,0.7,,,0.0948,0.2623,0.5809,0.062
006601,,0.2037,0.8592,0.3375,14.5995,0.119,0.8115,0.188,13.8814,0.0847,0.0477,0.1495,0.7181,0.2037,0.8592,0.3375,14.5995,,,0.0847,0.0477,0.1495,0.7181
006701,,0.0724,1.3046,14.4947,0.128,0.0649,0.8196,13.9988,0.1164,0.0075,0.485,0.4959,0.0116,0.0724,1.3046,14.4947,0.128,,,0.0075,0.485,0.4959,0.0116
006801,,0.0903,12.7009,3.1319,0.0769,0.0609,12.0812,2.811,0.047,0.0294,0.6197,0.3209,0.0299,0.0903,12.7009,3.1319,0.0769,,,0.0294,0.6197,0.3209,0.0299
006802,,7.6606,1.755,4.1635,2.4205,7.1089,1.7236,3.7548,2.4124,0.5517,0.0314,0.4087,0.0081,7.6606,1.755,4.1635,2.4205,,,0.5517,0.0314,0.4087,0.0081
006901,,5.4805,4.4699,3.2733,2.7766,5.2565,4.0856,2.9224,2.7358,0.224,0.3843,0.3509,0.0408,5.4805,4.4699,3.2733,2.7766,,,0.224,0.3843,0.3509,0.0408
007001,,3.0591,1.0355,4.4996,7.4053,2.8934,0.8846,4.214,7.0075,0.1657,0.1509,0.2856,0.3978,3.0591,1.0355,4.4996,7.4053,,,0.1657,0.1509,0.2856,0.3978
007101,,0.1227,2.3982,5.5322,7.947,0.0876,2.0684,5.4447,7.3994,0.0351,0.3298,0.0875,0.5476,0.1227,2.3982,5.5322,7.947,,,0.0351,0.3298,0.0875,0.5476
007102,,0.1182,13.3197,2.4447,0.1172,0.0766,12.6539,2.2061,0.0632,0.0416,0.6658,0.2386,0.054,0.1182,13.3197,2.4447,0.1172,,,0.0416,0.6658,0.2386,0.054
007201,,0.0911,0.7066,13.9774,1.2249,0.0792,0.6803,13.1919,1.0486,0.0119,0.0263,0.7855,0.1763,0.0911,0.7066,13.9774,1.2249,,,0.0119,0.0263,0.7855,0.1763
007301,,0.4895,3.8317,1.1568,10.5219,0.4353,3.8068,1.1255,9.6322,0.0542,0.0249,0.0313,0.8897,0.4895,3.8317,1.1568,10.5219,,,0.0542,0.0249,0.0313,0.8897
007302,,5.5705,0.7474,1.6727,8.0093,5.3625,0.6891,1.1828,7.7655,0.208,0.0583,0.4899,0.2438,5.5705,0.7474,1.6727,8.0093,,,0.208,0.0583,0.4899,0.2438
007401,,0.2198,9.9973,0.5013,5.2813,0.1946,9.3568,0.4386,5.0097,0.0252,0.6405,0.0627,0.2716,0.2198,9.9973,0.5013,5.2813,,,0.0252,0.6405,0.0627,0.2716
007501,,0.0262,0.2565,0.5227,15.1944,0.0155,0.1388,0.4472,14.3983,0.0107,0.1177,0.0755,0.7961,0.0262,0.2565,0.5227,15.1944,,,0.0107,0.1177,0.0755,0.7961
007601,,3.0278,1.2344,2.6472,9.091,2.6348,1.0832,2.4082,8.8742,0.393,0.1512,0.239,0.2168,3.0278,1.2344,2.6472,9.091,,,0.393,0.1512,0.239,0.2168
007602,,0.3488,4.2048,8.5096,2.9366,0.3175,3.7421,8.0228,2.9174,0.0313,0.4627,0.4868,0.0192,0.3488,4.2048,8.5096,2.9366,,,0.0313,0.4627,0.4868,0.0192
007701,,4.1474,6.0623,4.2909,1.4996,4.1217,5.8227,3.702,1.3539,0.0257,0.2396,0.5889,0.1457,4.1474,6.0623,4.2909,1.4996,,,0.0257,0.2396,0.5889,0.1457
007702,,3.2493,10.4722,2.1672,0.111,2.4082,10.4031,2.1041,0.0844,0.8411,0.0691,0.0631,0.0266,3.2493,10.4722,2.1672,0.111,,,0.8411,0.0691,0.0631,0.0266
007801,,0.1563,0.1451,15.6096,0.0893,0.1373,0.1344,14.6431,0.0854,0.019,0.0107,0.9665,0.0039,0.1563,0.1451,15.6096,0.0893,,,0.019,0.0107,0.9665,0.0039
007802,,0.2815,14.998,0.3873,0.3328,0.2554,14.0856,0.3488,0.3099,0.0261,0.9124,0.0385,0.0229,0.2815,14.998,0.3873,0.3328,,,0.0261,0.9124,0.0385,0.0229
